缓解判据,曾缓解判据,复发率分母,主口径,缓解率C%,缓解率A%,缓解率B%,复发率C%,复发率A%,复发率B%,等权排序,B全空间第一%
单点 D12=0,宽松 D3=0或D6=0,曾缓解,★,94.66,94.67,96.48,3.08,2.35,2.39,B > A > C,99.9
单点 D12=0,宽松 D3=0或D6=0,全体,,94.66,94.67,96.48,2.86,2.19,2.29,B > A > C,98.7
单点 D12=0,严格 仅D6=0,曾缓解,,94.66,94.67,96.48,2.65,1.89,1.65,B > A > C,100.0
单点 D12=0,严格 仅D6=0,全体,,94.66,94.67,96.48,2.38,1.71,1.52,B > A > C,100.0
单点 D12=0,两点 D3=D6=0,曾缓解,,94.66,94.67,96.48,2.49,1.73,1.5,B > A > C,100.0
单点 D12=0,两点 D3=D6=0,全体,,94.66,94.67,96.48,2.0,1.43,1.24,B > A > C,100.0
两点 D6=D12=0,宽松 D3=0或D6=0,曾缓解,,87.51,89.14,90.76,3.08,2.35,2.39,B > A > C,99.9
两点 D6=D12=0,宽松 D3=0或D6=0,全体,,87.51,89.14,90.76,2.86,2.19,2.29,B > A > C,97.9
两点 D6=D12=0,严格 仅D6=0,曾缓解,,87.51,89.14,90.76,2.65,1.89,1.65,B > A > C,100.0
两点 D6=D12=0,严格 仅D6=0,全体,,87.51,89.14,90.76,2.38,1.71,1.52,B > A > C,100.0
两点 D6=D12=0,两点 D3=D6=0,曾缓解,,87.51,89.14,90.76,2.49,1.73,1.5,B > A > C,100.0
两点 D6=D12=0,两点 D3=D6=0,全体,,87.51,89.14,90.76,2.0,1.43,1.24,B > A > C,100.0
